epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.37748346,2.5181141681229042,1e-04,0.36842105,1.2840593112142462
1,0.3245033,2.186454295322595,1e-04,0.36842105,1.2080547182183516
2,0.33774835,2.1018619868929025,1e-04,0.36842105,1.170447776192113
3,0.397351,1.7190244284686664,1e-04,0.34210527,1.1749244928359985
4,0.397351,1.5937646335323914,1e-04,0.34210527,1.1640278540159528
5,0.30463576,1.8157059451602153,1e-04,0.36842105,1.2148083887602155
6,0.37748346,1.581273712069783,2e-05,0.39473686,1.201305772128858
7,0.3642384,1.5637259980700664,2e-05,0.39473686,1.1879747666810687
8,0.2781457,1.5226067241453967,2e-05,0.39473686,1.1808937850751375
9,0.3112583,1.5513475920190873,2e-05,0.39473686,1.1837258966345536
